FID,Tanggal,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses_Pemantauan,Selesai_Pemantauan,PDP,Masih_Dirawat,Pulang_dan_Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self_Isolation,Latitude,Longitude
2,2020-05-28,3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,129,0,129,61,0,61,51,15,28,4,4,-6.131373,106.7013377
3,2020-05-28,3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,7,0,7,13,0,13,17,0,16,0,1,-6.2269109,106.8099197
4,2020-05-28,3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,408,2,406,45,3,42,55,13,22,7,13,-6.192572,106.7697255
5,2020-05-28,3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,168,0,168,65,1,64,37,8,15,4,10,-6.1666121,106.9037323
6,2020-05-28,3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,114,1,113,30,3,27,42,9,27,1,5,-6.1727245,106.7973014
7,2020-05-28,3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,103,2,101,35,0,35,39,9,20,4,6,-6.2341378,106.9192472
8,2020-05-28,3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,243,1,242,66,2,64,41,12,19,5,5,-6.1370058,106.7015938
9,2020-05-28,3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,152,0,152,37,3,34,40,7,18,9,6,-6.2754791,106.7804027
10,2020-05-28,3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,97,0,97,14,1,13,52,11,26,4,11,-6.2410395,106.9331532
11,2020-05-28,3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,170,0,170,66,4,62,28,6,13,3,6,-6.290266,106.7962151
12,2020-05-28,3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,61,3,58,34,5,29,28,5,13,2,8,-6.2064995,106.7541059
13,2020-05-28,3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,83,0,83,23,5,18,27,3,13,3,8,-6.2320512,106.8409966
14,2020-05-28,3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,182,0,182,54,5,49,54,15,24,3,12,-6.1559665,106.8952996
15,2020-05-28,3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,74,1,73,11,0,11,18,4,7,2,5,-6.2640072,106.8192923
16,2020-05-28,3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,36,0,36,10,1,9,24,6,15,2,1,-6.21462,106.84513
17,2020-05-28,3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,512,6,506,143,9,134,149,44,24,11,70,-6.1359497,106.8620469
18,2020-05-28,3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,70,2,68,43,3,40,37,9,11,3,14,-6.1097837,106.7856638
19,2020-05-28,3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,85,1,84,30,1,29,21,5,8,3,5,-6.3084775,106.8388558
20,2020-05-28,3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,247,0,247,40,11,29,44,15,12,4,13,-6.1763875,106.7736932
