FID,Hospital,City,District,Latitude,Longitude
1,RSPI Sulianti Saroso,Jakarta Utara,Tanjung Priok,-6.1298342,106.8625904
2,RSUP Persahabatan,Jakarta Timur,Pulo Gadung,-6.2046934,106.8848478
3,RSPAD Gatot Soebroto,Jakarta Pusat,Senen,-6.173,106.8418
4,RSUP Fatmawati,Jakarta Selatan,Cilandak,-6.29755,106.78393
5,RSU Bhayangkara Said Sukanto,Jakarta Timur,Kramat Jati,-6.23444,106.78667
6,RSAL Mintohardjo,Jakarta Pusat,Tanah Abang,-6.21462,106.84513
7,RSUD Cengkareng,Jakarta Barat,Cengkareng,-6.1429703,106.7348875
8,RSUD Pasar Minggu,Jakarta Selatan,Pasar Minggu,-6.285487,106.8423286
9,RSKD Duren Sawit,Jakarta Timur,Duren Sawit,-6.21462,106.84513
10,RS Pelni,Jakarta Barat,Palmerah,-6.1930611,106.8039759
11,RSUD Tarakan,Jakarta Pusat,Cideng,-6.1716377,106.8103462
12,RSUD Koja,Jakarta Utara,Koja,-6.1089218,106.9000601
13,RSU Pertamina Jaya,Jakarta Pusat,Cempaka Putih Timur,-6.21462,106.84513
