FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan
0,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,3723,107,3616,2584,272,2312,539,149,26,8,356,
1,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,5706,342,5364,1638,229,1409,1329,499,382,71,377,
2,3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,129,0,129,61,0,61,51,15,28,4,4,
3,3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,7,0,7,13,0,13,17,0,16,0,1,
4,3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,408,2,406,45,3,42,55,13,22,7,13,
5,3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,168,0,168,65,1,64,37,8,15,4,10,
6,3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,114,1,113,30,3,27,42,9,27,1,5,
7,3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,103,2,101,35,0,35,39,9,20,4,6,
8,3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,243,1,242,66,2,64,41,12,19,5,5,
9,3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,152,0,152,37,3,34,40,7,18,9,6,
10,3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,97,0,97,14,1,13,52,11,26,4,11,
11,3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,170,0,170,66,4,62,28,6,13,3,6,
12,3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,61,3,58,34,5,29,28,5,13,2,8,
13,3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,83,0,83,23,5,18,27,3,13,3,8,
14,3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,182,0,182,54,5,49,54,15,24,3,12,
15,3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,74,1,73,11,0,11,18,4,7,2,5,
16,3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,36,0,36,10,1,9,24,6,15,2,1,
17,3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,512,6,506,143,9,134,149,44,24,11,70,
18,3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,70,2,68,43,3,40,37,9,11,3,14,
19,3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,85,1,84,30,1,29,21,5,8,3,5,
20,3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,247,0,247,40,11,29,44,15,12,4,13,
21,3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,83,1,82,19,1,18,26,6,15,0,5,
22,3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,37,0,37,14,1,13,14,2,8,3,1,
23,3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,112,0,112,32,4,28,28,6,9,6,7,
24,3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,85,2,83,33,3,30,27,10,8,6,3,
25,3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,40,1,39,16,1,15,16,1,6,2,7,
26,3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,86,2,84,24,2,22,15,4,6,0,5,
27,3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,79,0,79,15,4,11,20,7,8,1,4,
28,3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,64,0,64,19,2,17,22,3,12,3,4,
29,3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,16,0,16,5,0,5,7,0,6,1,0,
30,3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,52,2,50,9,0,9,25,8,6,2,9,
31,3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,93,3,90,28,2,26,38,11,11,2,14,
32,3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,87,0,87,21,0,21,29,4,14,2,9,
33,3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,72,2,70,12,1,11,27,3,11,4,9,
34,3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,48,2,46,20,0,20,18,4,7,3,4,
