FID,name,categories,lat,lng
1,Warung Nasi Bunda,Indonesian Restaurant,-6.171548514662123,106.80887713345227
2,Kopi Kebut Nitro Bar,Coffee Shop,-6.173219121248765,106.81175351142882
3,McDonald's Cideng,Fast Food Restaurant,-6.173390575893089,106.81131393616164
4,Bubur Ayam Musi,Breakfast Spot,-6.174419550293943,106.80955378249476
5,Starbucks,Coffee Shop,-6.175441,106.81222
6,Petrof Piano,Music Venue,-6.172732561563085,106.81171261680026
7,Pondok Aroma Laut,Seafood Restaurant,-6.171483555988413,106.80892964067341
8,Suan Thai,Thai Restaurant,-6.173744018562451,106.81170125101691
9,favehotel Tanah Abang - Cideng,Hotel,-6.1735858730151705,106.81180240839795
10,Focus Nusantara - Camera & Photography Shop,Camera Store,-6.175638867425878,106.81290120674937
11,Sate Khas Senayan,Indonesian Restaurant,-6.175523998281475,106.81205430931826
12,Roemah Noni,Indonesian Restaurant,-6.172589728676554,106.81509684284843
13,Royal City Hotel,Hotel,-6.171874238135141,106.80812718913944
14,Maxx Coffee Cideng,Coffee Shop,-6.175761289744459,106.81173755933035
15,McDonald's,Fast Food Restaurant,-6.173762267944959,106.81110569009903
16,Burger King,Fast Food Restaurant,-6.172196,106.811417
17,Wita Tour Head Office,Office,-6.1705047683645216,106.81411030765284
18,Pondol,Asian Restaurant,-6.176038668041026,106.81004995968551
19,Gramedia,Bookstore,-6.171732749767741,106.80891069814504
20,Pondol (Pondok Es Cendol),Indonesian Restaurant,-6.176257285535058,106.81002259429339
21,Lawson,Convenience Store,-6.171289197383746,106.80870329843698
22,Depot Es & Masakan Indonesia Nini Thowong,Ice Cream Shop,-6.17446347009978,106.8134062191144
23,Focus Nusantara,Camera Store,-6.175629021900363,106.81294476049511
24,Huize Trivelli (Heritage Resto & Patissier),Indonesian Restaurant,-6.176266483615635,106.81059870842991
25,Lynt Hotel,Hotel,-6.169045807927305,106.81086372143277
26,Bale Lombok - Spesialis ayam taliwang,Indonesian Restaurant,-6.176257242315681,106.81056068485563
27,KFC Cideng Jakarta Pusat,American Restaurant,-6.175689349605706,106.81203727190031
28,Waroenk Kito,Asian Restaurant,-6.170086444020929,106.80840713105874
29,Bale Lombok,Indonesian Restaurant,-6.176336655989596,106.8105786123983
